,id,exptime,seeing,filter,ra,declination,qc_done,qc_accept,qc_fwhm,qc_sky,qc_cloud,qc_teff,qc_eps,Unnamed: 13,Nccds,Nisnan
1,600977,45.0,2.016,Y,78.991183,-47.590268,False,False,2.06,0.22,0.57,0.07,0.04,,,
5,601939,45.0,0.76,Y,78.991183,-47.590268,False,False,0.74,-0.04,0.11,1.39,0.08,,,
2,600908,90.0,1.386,g,78.991183,-47.590268,False,False,1.37,-0.15,0.16,0.6,0.04,,,
3,601937,90.0,0.991,i,78.991183,-47.590268,False,False,1.9,0.41,0.1,0.15,0.6,,,
0,600907,90.0,1.307,r,78.991183,-47.590268,False,False,1.3,-0.23,0.11,0.64,0.04,,,
4,601938,90.0,0.834,z,78.991183,-47.590268,False,False,0.81,0.17,0.12,0.99,0.03,,2.0,0.0
7,714483,90.0,1.159,g,79.318442,-48.215864,False,False,1.14,-0.31,0.25,0.92,0.05,,,
6,714451,90.0,0.97,i,79.318442,-48.215864,False,False,0.97,-0.57,0.02,1.46,0.05,,,
8,714452,90.0,1.069,r,79.318442,-48.215864,False,False,1.06,-0.29,0.18,1.02,0.06,,,
9,702436,90.0,1.027,z,79.318442,-48.215864,False,False,0.99,0.31,0.07,0.58,0.05,,2.0,0.0
12,800439,90.0,1.297,g,79.606817,-47.691716,False,False,1.27,-0.25,-0.02,0.77,0.02,,,
10,800437,90.0,1.198,i,79.606817,-47.691716,False,False,1.18,-0.05,-0.01,0.61,0.03,,,
11,800438,90.0,1.17,r,79.606817,-47.691716,False,False,1.15,-0.17,-0.02,0.78,0.04,,,
13,800802,90.0,0.986,z,79.606817,-47.691716,False,False,0.95,0.15,0.93,0.19,0.06,,3.0,0.0
14,801513,90.0,1.217,z,79.606817,-47.691716,False,False,1.15,-0.3,0.09,0.76,0.04,,3.0,0.0
15,255970,45.0,,Y,79.678,-48.0806,False,False,1.02,-0.01,0.06,0.71,0.08,,,
16,278226,90.0,1.477,g,79.678,-48.0806,False,False,1.48,0.11,0.17,0.41,0.03,,,
18,279445,90.0,1.047,i,79.678,-48.0806,False,False,1.03,-0.29,-0.01,1.0,0.05,,,
17,278555,90.0,1.251,r,79.678,-48.0806,False,False,1.23,0.08,0.05,0.54,0.03,,,
19,282100,90.0,0.873,z,79.678,-48.0806,False,False,,,,,,,2.0,0.0
22,275304,45.0,1.262,Y,79.748662,-47.302832,False,False,1.25,0.17,0.15,0.4,0.04,,,
21,270039,90.0,1.023,g,79.748662,-47.302832,False,False,0.98,0.18,0.1,0.87,0.06,,,
24,279446,90.0,1.037,i,79.748662,-47.302832,False,False,1.02,-0.29,-0.08,1.02,0.03,,,
23,279444,90.0,1.153,r,79.748662,-47.302832,False,False,1.13,-0.09,0.06,0.75,0.04,,,
20,282099,90.0,0.833,z,79.748662,-47.302832,False,False,,,,,,,2.0,1.0
26,514830,90.0,1.415,g,79.7731,-47.793164,False,False,1.35,-0.03,0.22,0.53,0.05,,,
27,514503,90.0,0.893,i,79.7731,-47.793164,False,False,0.89,-0.32,0.05,1.37,0.03,,,
25,514829,90.0,1.245,r,79.7731,-47.793164,False,False,1.18,-0.11,0.14,0.7,0.05,,,
28,516806,90.0,0.904,z,79.7731,-47.793164,False,False,0.86,0.43,0.15,0.69,0.06,,2.0,1.0
29,578286,45.0,1.084,Y,79.773104,-47.793164,False,False,1.05,0.25,-0.02,0.53,0.01,,,
